1,Stephen Kinnock,1,1,1,1,1,17008
2,Charlotte Lang,1,1,1,1,2,6518
3,Glenda Davies,1,1,1,1,3,3108
4,Nigel Hunt,1,1,1,1,4,2711
5,Sheila Kingston-Jones,1,1,1,1,5,1072
6,Captain Beany,1,1,1,1,6,731
7,Giorgia Finney,1,1,1,1,7,450
8,Robin Millar,2,2,1,1,2,14687
9,Emily Owen,2,2,1,1,1,12653
10,Lisa Goodier,2,2,1,1,4,2704
11,Jason Edwards,2,2,1,1,5,1821
12,Kirsty Blackman,3,3,2,2,8,20205
13,Ryan Houghton,3,3,2,2,2,7535
14,Nurul Hoque Ali,3,3,2,2,1,4939
15,Isobel Davidson,3,3,2,2,5,2846
16,Seb Leslie,3,3,2,2,3,1008
17,Guy Ingerson,3,3,2,2,7,880
18,Stephen Flynn,4,3,2,2,8,20388
19,Douglas Lumsden,4,3,2,2,2,16398
20,Ian Yuill,4,3,2,2,5,5018
21,Shona Simpson,4,3,2,2,1,3834
22,Neil Gray,5,3,2,2,8,17929
23,Helen McFarlane,5,3,2,2,1,12728
24,Lorraine Nolan,5,3,2,2,2,7011
25,William Crossman,5,3,2,2,5,1419
26,Rosemary McGowan,5,3,2,2,7,685
27,Leo Docherty,6,4,3,3,2,27980
28,Howard Kaye,6,4,3,3,1,11282
29,Alan Hilliar,6,4,3,3,5,6920
30,Donna Wallace,6,4,3,3,7,1750
31,Wendy Morton,7,5,4,3,2,27850
32,David Morgan,7,5,4,3,1,8014
33,Ian Garrett,7,5,4,3,5,2371
34,Bill McComish,7,5,4,3,7,771
35,Mark Beech,7,5,4,3,9,336
36,Graham Brady,8,6,5,3,2,26311
37,Andrew Western,8,6,5,3,1,20172
38,Angela Smith,8,6,5,3,5,6036
39,Geraldine Coggins,8,6,5,3,7,1566
40,Neil Taylor,8,6,5,3,10,454
41,Iram Kiani,8,6,5,3,6,224
42,Mark Tami,9,2,1,1,1,18271
43,Sanjoy Sen,9,2,1,1,2,18058
44,Simon Wall,9,2,1,1,3,2678
45,Donna Lalek,9,2,1,1,5,2548
46,Susan Hills,9,2,1,1,4,1453
47,Nigel Mills,10,7,6,3,2,29096
48,Adam Thompson,10,7,6,3,1,12210
49,Kate  Smith,10,7,6,3,5,2873
50,Lian Pizzey,10,7,6,3,7,1388
51,Dave Doogan,11,3,2,2,8,21216
52,Kirstene Hair,11,3,2,2,2,17421
53,Ben Lawrie,11,3,2,2,5,2482
54,Monique Miller,11,3,2,2,1,2051
55,Hywel Williams,12,8,1,1,4,13134
56,Steffie Williams Roberts,12,8,1,1,1,10353
57,Gonul Daniels,12,8,1,1,2,4428
58,Gary Gribben,12,8,1,1,3,1159
59,Brendan O'Hara,13,3,2,2,8,21040
60,Gary Mulvaney,13,3,2,2,2,16930
61,Alan Reid,13,3,2,2,5,6832
62,Rhea Barnes,13,3,2,2,1,3248
63,Andrew Griffith,14,9,3,3,2,35566
64,Alison Bennett,14,9,3,3,5,13045
65,Bella Sankey,14,9,3,3,1,9722
66,Isabel Thurston,14,9,3,3,7,2519
67,Robert Wheal,14,9,3,3,6,556
68,Lee Anderson,15,10,6,3,2,19231
69,Jason Zadrozny,15,10,6,3,11,13498
70,Natalie Fleet,15,10,6,3,1,11971
71,Martin Daubney,15,10,6,3,3,2501
72,Rebecca Wain,15,10,6,3,5,1105
73,Rose Woods,15,10,6,3,7,674
74,Damian Green,16,11,3,3,2,37270
75,Dara Farrell,16,11,3,3,1,13241
76,Adrian Gee-Turner,16,11,3,3,5,6048
77,Mandy Rossi,16,11,3,3,7,2638
78,Susannah De Sanvil,16,11,3,3,6,862
79,Angela Rayner,17,6,5,3,1,18544
80,Dan Costello,17,6,5,3,2,14281
81,David Brocklehurst,17,6,5,3,3,3151
82,George Rice,17,6,5,3,5,1395
83,Lee Huntbach,17,6,5,3,7,1208
84,Rob Butler,18,12,3,3,2,32737
85,Liz Hind,18,12,3,3,1,15364
86,Steven Lambert,18,12,3,3,5,10081
87,Coral Simpson,18,12,3,3,7,2394
88,Allan Dorans,19,3,2,2,8,20272
89,Martin Dowey,19,3,2,2,2,17943
90,Duncan Townson,19,3,2,2,1,6219
91,Helena Bongard,19,3,2,2,5,2158
92,Victoria Prentis,20,13,3,3,2,34148
93,Suzette Watson,20,13,3,3,1,17335
94,Tim Bearder,20,13,3,3,5,8831
95,Ian Middleton,20,13,3,3,7,2607
96,David Duguid,21,3,2,2,2,21182
97,Paul Robertson,21,3,2,2,8,17064
98,Alison Smith,21,3,2,2,5,2280
99,Brian Balcombe,21,3,2,2,1,1734
100,Margaret Hodge,22,14,7,3,1,27219
101,Tamkeen Shaikh,22,14,7,3,2,11792
102,Karen Batley,22,14,7,3,3,3186
103,Ann Haigh,22,14,7,3,5,1482
104,Shannon Butterfield,22,14,7,3,7,820
105,Daniel Jarvis,23,15,8,3,1,14804
106,Victoria Felton,23,15,8,3,3,11233
107,Iftikhar Ahmed,23,15,8,3,2,7892
108,Will Sapwell,23,15,8,3,5,1176
109,Tom Heyes,23,15,8,3,7,900
110,Ryan Williams,23,15,8,3,12,710
111,Donald Wood,23,15,8,3,6,188
112,Stephanie Peacock,24,15,8,3,1,14329
113,Jim Ferguson,24,15,8,3,3,11112
114,Adam Gregg,24,15,8,3,2,10377
115,Sophie Thornton,24,15,8,3,5,1330
116,Richard Trotman,24,15,8,3,7,922
117,Simon Fell,25,16,5,3,2,23876
118,Chris Altree,25,16,5,3,1,18087
119,Loraine Birchall,25,16,5,3,5,2025
120,Ged McGrath,25,16,5,3,3,1355
121,Chris Loynes,25,16,5,3,7,703
122,John Baron,26,17,9,3,2,29590
123,Andrew Gordon,26,17,9,3,1,9178
124,Edward Sainsbury,26,17,9,3,5,3741
125,Stewart Goshawk,26,17,9,3,7,1395
126,Simon Breedon,26,17,9,3,13,224
127,Maria Miller,27,4,3,3,2,29593
128,Kerena Marchant,27,4,3,3,1,15395
129,Sashi Mylvaganam,27,4,3,3,5,6841
130,Jonathan Jenkin,27,4,3,3,7,2138
131,Alan Stone,27,4,3,3,6,746
132,Brendan Clarke-Smith,28,10,6,3,2,28078
133,Keir Morrison,28,10,6,3,1,14065
134,Debbie Soloman,28,10,6,3,3,5366
135,Helen Tamblyn-Saville,28,10,6,3,5,3332
136,Wera Hobhouse,29,18,10,3,5,28419
137,Annabel  Tall ,29,18,10,3,2,16097
138,Mike  Davies,29,18,10,3,1,6639
139,Jimi Ogunnusi,29,18,10,3,3,642
140,Bill  Blockhead,29,18,10,3,6,341
141,Tracy Brabin,30,19,8,3,14,22594
142,Mark Brooks,30,19,8,3,2,19069
143,Paul Halloran,30,19,8,3,15,6432
144,John Lawson,30,19,8,3,5,2462
145,Clive  Minihan,30,19,8,3,3,1678
146,Ty Akram,30,19,8,3,7,692
